pid,station_name,station_lat,station_lng,flows_in,flows_out,flows_all
158,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,4296,4362,8658
159,Canal St & Taylor St,41.870257,-87.639474,2470,2448,4918
160,Clinton St & Roosevelt Rd,41.867069,-87.64099333,2449,2246,4695
161,Federal St & Polk St,41.87217883,-87.62953633,4584,4272,8856
162,Halsted St & Maxwell St,41.86480467,-87.647099,2354,2255,4609
163,Halsted St & Polk St,41.87184,-87.64664,2991,3040,6031
164,Halsted St & Roosevelt Rd,41.867324,-87.648625,1979,1854,3833
165,May St & Taylor St,41.8694821,-87.6554864,3839,3777,7616
166,Morgan St & Polk St,41.871737,-87.65103,5204,5260,10464
167,Racine Ave & Congress Pkwy,41.87464,-87.65703,2243,2194,4437
168,Wells St & Polk St,41.872596,-87.633502,2601,2373,4974
169,South Chicago Ave & 83rd St,41.74389717,-87.57524517,8,10,18
170,Commercial Ave & 83rd St,41.744615,-87.551208,32,27,59
171,Halsted St & 51st St,41.80183164,-87.6452139,17,17,34
172,Princeton Ave & 47th St,41.80931771,-87.63344929,112,166,278
173,Ashland Ave & 50th St,41.803023,-87.664699,28,26,54
174,Throop St & 52nd St,41.799659,-87.657195,1,1,2
175,Central Ave & Harrison St,41.872993,-87.764499,19,21,40
176,Cicero Ave & Flournoy St,41.872131,-87.746619,14,16,30
177,Aberdeen St & Monroe St,41.88046817,-87.65557133,3673,3440,7113
178,Loomis St & Jackson Blvd,41.877945,-87.662007,1497,1486,2983
179,Loomis St & Lexington St,41.872187,-87.661501,4071,4178,8249
180,Hermitage Ave & Polk St,41.871514,-87.669886,2015,1977,3992
181,Ogden Ave & Congress Pkwy,41.87501,-87.67328,447,547,994
182,Wolcott Ave & Polk St,41.87131183,-87.67370583,3053,2924,5977
183,MLK Jr Dr & 47th St,41.80987767,-87.61633967,129,133,262
184,Prairie Ave & 43rd St,41.81665889,-87.61941246,167,148,315
185,Shields Ave & 43rd St,41.8161935,-87.63478517,10,10,20
186,State St & Pershing Rd,41.82305467,-87.626579,85,86,171
187,Cottage Grove Ave & 47th St,41.809855,-87.606755,236,253,489
188,Phillips Ave & 83rd St,41.744531,-87.56506,15,17,32
189,Calumet Ave & 51st St,41.802295,-87.618054,191,202,393
190,Damen Ave & 51st St,41.800908,-87.674684,18,20,38
191,Ashland Ave & Garfield Blvd,41.792822,-87.664429,9,5,14
192,Seeley Ave & Garfield Blvd,41.7941445,-87.67551733,8,8,16
193,Western Blvd & 48th Pl,41.805661,-87.683392,63,105,168
194,Austin Blvd & Chicago Ave,41.894887,-87.774704,47,49,96
195,Central Ave & Chicago Ave,41.894958,-87.764902,15,14,29
196,Princeton Ave & Garfield Blvd,41.794982,-87.633124,84,86,170
197,Ellis Ave & 58th St,41.788746,-87.601334,1773,1795,3568
198,Ellis Ave & 60th St,41.78509715,-87.60107276,2711,2753,5464
199,63rd St Beach,41.78091096,-87.57632375,264,279,543
200,Dorchester Ave & 63rd St,41.78040565,-87.59141599,153,133,286
201,Jeffery Blvd & 67th St,41.77351755,-87.57714283,83,79,162
202,South Shore Dr & 67th St,41.773643,-87.567514,236,224,460
203,Stony Island Ave & 64th St,41.778881,-87.586647,73,80,153
204,Stony Island Ave & 67th St,41.7734585,-87.58533974,51,48,99
205,Cottage Grove Ave & 63rd St,41.780601,-87.605836,211,204,415
206,California Ave & 23rd Pl,41.84910969,-87.69513981,426,443,869
207,Central Park Ave & 24th St,41.8481,-87.715068,39,49,88
208,Central Park Ave & Ogden Ave,41.8540635,-87.71511734,66,73,139
209,Millard Ave & 26th St,41.84453112,-87.715922,133,131,264
210,Damen Ave & Cullerton St,41.85496383,-87.6755935,742,678,1420
211,Western Ave & 21st St,41.854109,-87.685838,459,463,922
212,Damen Ave & Coulter St,41.8492,-87.67564,110,119,229
213,Western Ave & 24th St,41.84845817,-87.68515583,205,191,396
214,Cottage Grove Ave & 67th St,41.773721,-87.605635,100,96,196
215,Albany Ave & 26th St,41.84447501,-87.70201301,56,56,112
216,Kedzie Ave & 24th St,41.84819094,-87.70541375,65,95,160
217,Buckingham Fountain,41.87653519,-87.62047291,1150,1340,2490
218,Clark St & Lake St,41.88602083,-87.63087606,4933,5102,10035
219,Clark St & Randolph St,41.88426883,-87.631596,5103,4941,10044
220,Columbus Dr & Randolph St,41.884728,-87.619521,7710,11065,18775
221,Daley Center Plaza,41.88417233,-87.62920067,12639,13032,25671
222,Dearborn St & Adams St,41.87866733,-87.6301535,3271,3395,6666
223,Dearborn St & Monroe St,41.88131982,-87.62952092,5935,5947,11882
224,Dusable Harbor,41.886976,-87.612813,2818,2830,5648
225,Field Blvd & South Water St,41.88634906,-87.61751655,3670,3487,7157
226,Michigan Ave & Jackson Blvd,41.87785,-87.62408,3799,3762,7561
227,Michigan Ave & Lake St,41.886024,-87.624117,6253,6291,12544
228,Michigan Ave & Madison St,41.882134,-87.625125,3239,3124,6363
229,Michigan Ave & Washington St,41.88398406,-87.62468398,12249,12818,25067
230,Millennium Park,41.8810317,-87.62408432,7463,7427,14890
231,State St & Randolph St,41.8845995,-87.62737167,5692,5991,11683
232,Stetson Ave & South Water St,41.886835,-87.62232,3546,3873,7419
233,Wabash Ave & Adams St,41.87947235,-87.62568861,3520,3190,6710
234,Wabash Ave & Wacker Pl,41.886875,-87.62603,3223,3651,6874
235,California Ave & 26th St,41.84405883,-87.695358,114,98,212
236,Halsted St & 21st St,41.85381567,-87.64657583,559,464,1023
237,May St & Cullerton St,41.855136,-87.654127,701,730,1431
238,Cityfront Plaza Dr & Pioneer Ct,41.89039817,-87.6220405,3517,3972,7489
239,Fairbanks Ct & Grand Ave,41.89184737,-87.6205802,6765,7005,13770
240,LaSalle St & Illinois St,41.890762,-87.631697,6445,6104,12549
241,Rush St & Hubbard St,41.890173,-87.626185,4065,3781,7846
242,State St & Kinzie St,41.8892055,-87.627837,6297,5935,12232
243,Wabash Ave & Grand Ave,41.891466,-87.626761,6380,6789,13169
244,Michigan Ave & 8th St,41.872773,-87.623981,2145,2668,4813
245,State St & Harrison St,41.874053,-87.627716,2624,2958,5582
246,State St & Van Buren St,41.87717417,-87.6278235,3338,3541,6879
247,Woodlawn Ave & 75th St,41.75916,-87.595751,11,11,22
248,Morgan Ave & 14th Pl,41.862378,-87.651062,1727,1624,3351
249,Morgan St & 18th St,41.85805783,-87.65114933,1558,1336,2894
250,Racine Ave & 15th St,41.861267,-87.656625,972,947,1919
251,Racine Ave & 18th St,41.858166,-87.656495,1605,1444,3049
252,Blue Island Ave & 18th St,41.857556,-87.661535,1872,1694,3566
253,Paulina St & 18th St,41.857901,-87.668745,1171,1164,2335
254,Harper Ave & 59th St,41.78796817,-87.58828167,695,786,1481
255,Shore Dr & 55th St,41.79529467,-87.58090567,2634,2657,5291
256,Pulaski Rd & Lake St,41.885409,-87.726491,17,30,47
257,Glenwood Ave & Morse Ave,42.00796267,-87.66543183,1368,1360,2728
258,Glenwood Ave & Touhy Ave,42.012701,-87.666058,283,280,563
259,Sheridan Rd & Greenleaf Ave,42.010587,-87.662412,605,594,1199
260,Bosworth Ave & Howard St,42.019537,-87.669563,208,219,427
261,Eastlake Ter & Rogers Ave,42.02085367,-87.66500883,609,657,1266
262,Greenview Ave & Jarvis Ave,42.015962,-87.66857,682,660,1342
